"C#","Format","Card Name","Archetype","A+-","A","P","P+-","R","HP","Heroic","Slow","Silence","Disarm","Hidden Types","Mechanics","Flavor","Artist","UUID","Colorpip 1","Colorpip 2","Season tag","CardType","SecondCardUUID"
"19","Skill","Unison","Manifest","-","2","2","+","3","","","","Silence","","Ability","Target player draws two cards.","The ebb and flow of wisdom is coveted by the manifest.","Septimius Ferdian","c02511361f444ae586c0853f25c00bad","White","","S0","Class",""
"20","Skill","Word of Peace","Manifest","-","1","2","-","3","","","Slow","Silence","","Instant Ability","{Counter} target card unless its controller spends 3 {Resources}. If that card is {Countered}, heal yourself 3 HP.","","Nikita Volobuev","2de5eac639c7426ea7d67a3ab7abfa95","White","","S0","Class",""
"21","Skill","Bewitch","Witch","-","1","2","-","3","","","Slow","Silence","","Instant Ability","{Counter} target card unless its controller spends 4 {Resources}.","Romance between a witch and a commoner often ends with both hanging by a noose.","Piotr Arendzikowski","4a22c2dd33fa409a933c0bc2648fe115","Black","","S0","Class",""
"22","Skill","Black Flight","Witch","-","1","1","+","3","","","Slow","","Disarm","Travel Debuff","{Travel} to target tile. {Silence 1} [i] yourself.","Commonfolk view a raven in misty skies as a sure sign of witchcraft.","Piotr Arendzikowski","9deec7a65a0f4f16a7ce4bdd2bdc8e0f","Black","","S0","Class",""
"23","Skill","Black Magic","Witch","","0","2","-","3","","","","Silence","","Aura","{Attach} to target opponent. After you resolve an {Ability} card targeting them, deal 2 damage to them and heal yourself 1 HP.","When madness and misery are your tools, it is little wonder the commonfolk fear you.","Nikita Volobuev","838c8dcaf9174d38b80b883f2da8b1bc","Black","","S0","Class",""
"24","Skill","Curse of Dementia","Witch","-","1","2","-","3","","","","Silence","","Aura","{Attach} to target player. At the start of your turn, they draw a card. After they draw a card, deal 2 damage to them.","","Piotr Arendzikowski","870644fe302e4dd28c63746123993127","Black","","S0","Class",""
"25","Skill","Cursebolts","Witch","","0","2","-","3","","","","","Disarm","Debuff Attack","Deal 4 damage to target enemy. {Breach} - {Slow 1} [o] and {Silence 1} [i] them. <This card has Breach if the target has a revealed card in their hand.)>","Combat curses are nearly impossible to learn, let alone master.","Mario Vazquez","8ed50cae13944b92aac2d8e2f9d2280b","Black","","S0","Class",""
"26","Skill","Dark Litany","Witch","","0","1","+","","","H","","","","Ability","Remove two instances of {Control} from yourself, then deal 3 damage to yourself.","Secrets pried from the Wintersea do not come without a price.","Wojtek Depcyznski","619c947f8f6c480685762e7f782e03f1","Black","","S0","Class",""
"27","Skill","Featherwind","Witch","-","1","1","+","3","","","Slow","Silence","","Instant Travel Ability","{Travel} another target character up to one tile away from you. They {Reveal} a card from their hand.","Best to keep away from the cry of a raven in the forest.","Jackie Felix","7feb270e3e4d418eb886c161fad3c4e3","Black","","S0","Class",""
"28","Skill","Feel the Signs","Witch","-","1","3","+","","","","","","Disarm","Debuff","{Hardcast} <(Only play this card if it is revealed. At the end of your turn, you may reveal one card with Hardcast.)> {Silence 1} [i] yourself.","There is such a thing as too much knowledge. Those who peer into the Wintersea can attest.","Cynthia F.G.","818b5e33715343708f9202c8be9cc767","Black","","S0","Class",""
"29","Skill","Harrow","Witch","-","1","3","-","3","","","","","Disarm","Debuff Attack","Deal 9 damage to target enemy. {Breach} - {Silence 2} [i] them. <(This card has Breach if the target has a revealed card in their hand.)>","A traumatic experience can leave more than a psychological scar.","Cynthia F.G.","5cc8548e95194cb39e775ad9955c8a12","Black","","S0","Class",""
"30","Skill","Life Drain","Witch","-","1","1","+","3","","","","Silence","Disarm","Ability Attack","Deal 3 damage to target enemy. Heal yourself 3 HP.","Few people experience true agony in their lifetime. Those who do never forget it.","Wojtek Depcyznski","d6f48b3f98a5455db1775a81e06497f3","Black","","S0","Class",""
"31","Skill","Pain Hex","Witch","-","1","1","-","3","","","","","Disarm","Attack","{Hardcast} <(Only play this card if it is revealed. At the end of your turn, you may reveal one card with Hardcast.)> Deal 7 damage to target enemy.","A wolven fang and a Winterborn's tears. It reeks of blood and salt.","Benjamin Goutte","68344e4ce04d4e54a1d96bf9d206a8a2","Black","","S0","Class",""
"32","Skill","Raven Sight","Witch","","0","1","-","3","","","","Silence","","Ability","Choose one: - {Destroy} target card. - Target player {Reveals} a card from their hand.","Stare into the raven's eye, and you never know what might be staring back.","Bodo Kruhn","92ab1475cfa847b19d53e94bf9074005","Black","","S0","Class",""
"33","Skill","Raven Bolt","Witch","-","1","1","+","3","","","","Silence","Disarm","Ability Attack","Deal 3 damage to target enemy. They {Reveal} a card from their hand.","With the right incantations, ravens flock to fonts of dark magic.","Cynthia F.G.","92cec0296f71461f8f2ed655950f3181","Black","","S0","Class",""
"34","Skill","Ravenshift","Witch","","0","1","+","","","","","Silence","Disarm","Ability Debuff","Gain [n]. {Silence 1} [i] yourself.","Don't blink when the ravens pass. What you saw before may not be the same.","Nikita Volobuev","67e4b1f934e74eab8aea00ae20682dcb","Black","","S0","Class",""
"35","Skill","Spirit Siphon","Witch","","0","3","-","3","","","","Silence","","Ability","{Stun} target opponent. <(They lose a resource of their choice.)> If a {Resource} is removed this way, heal yourself 4 HP and draw a card.","When your spirits are low, take theirs.","Andrey Petukhov","55ebb6bbc3604acc95a56da85d23ff01","Black","","S0","Class",""
"36","Skill","Twice Scorned","Witch","-","2","2","+","","","","","Silence","","Ability","{Hardcast} <(Only play this card if it is revealed. At the end of your turn, you may reveal one card with Hardcast.)> You may play an {Ability} card from your discard targeting an opponent for {Free}.","","Septimius Ferdian","f9c5d7411d79434b8c3cf9c01452d8c4","Black","","S0","Class",""
"37","Skill","Wilt Hex","Witch","","0","2","-","3","","","Slow","","Disarm","Instant Debuff","{Hardcast} <(Only play this card if it is revealed. At the end of your turn, you may reveal one card with Hardcast.)> {Slow 3} [o] target opponent.","Mashed winterberries and a touch of wyvern blood. A sweet scent, but a wicked malady.","Simon Tjong","d16ed09d86024429aab7427ff07d12b9","Black","","S0","Class",""
"38","Skill","Witchcraft","Witch","","0","3","-","","","","","Silence","","Aura","{Attach} to yourself. At the end of your turn, {Silence 1} [i] each player. After you're {Controlled} for the first time during a turn, gain [p].","Grief serves as a powerful catalyst and covens are often filled with tragic backstories.","Benjamin Goutte","f17f8ccd4d9b4863be22b567c1809df1","Black","","S0","Class",""
"39","Skill","Wither Hex","Witch","","0","2","-","3","","","Slow","","Disarm","Instant Debuff","{Hardcast} <(Only play this card if it is revealed. At the end of your turn, you may reveal one card with Hardcast.)> {Disarm 3} [d] target opponent.","The root of a wilder stored in the ashes of its forest. It burns with a terrible stench.","Simon Tjong","aca3e9e8ef0d4499b9f0ae6cb7dfac79","Black","","S0","Class",""
"40","Skill","Withering Curse","Witch","-","1","2","-","3","","","","Silence","","Aura","{Attach} to target opponent. At the end of your turn, {Disarm 2} [d] them.","It's not lethal—just permanent.","Piotr Arendzikowski","3caa76a093f34f4a8466462467aece5d","Black","","S0","Class",""
"41","Skill","Bull Rush","Giant","-","1","2","+","2","","","Slow","","","Travel","{Hardcast} <(Only play this card if it is revealed. At the end of your turn, you may reveal one card with Hardcast.)> {Travel} to target tile.","Clans that clash with giants on open fields never survive the charge.","Wojtek Depcyznski","7ed8bdc18a9e4a298f9d2db27563a81d","Red","","S0","Class",""
"42","Skill","Bumble","Giant","-","1","1","+","2","","H","","","","Travel Ability","{Travel} to target tile. Make that tile {Difficult Terrain} [dt].","Whoops.","Nikita Volobuev","886018140a874ab1943b973ab3fcd9f9","Red","","S0","Class",""
"43","Skill","Clobber","Giant","-","2","2","+","1","","","","","Disarm","Attack","{Hardcast} <(Only play this card if it is revealed. At the end of your turn, you may reveal one card with Hardcast.)> Deal 9 damage to target enemy.","Veterans say that rage will cloud your judgment. Few have slain a giant.","Wasan Techawibulchai","50acf19a88dd4cad90a94152269984b1","Red","","S0","Class",""
"44","Skill","Debris","Giant","","0","2","-","","","","","Silence","","Aura","{Attach} to yourself. After you make {Terrain} in a tile, choose one for each opponent in it: - {Silence 1} [i] them. - {Disarm 1} [d] them.","","Dario Marzadori","4ad0f93c08fa4b4b9bebc78c1eb2cbff","Red","","S0","Class",""
"45","Skill","Demolish","Giant","-","1","2","+","1","","","","Silence","","Ability","Make target tile {Difficult Terrain} [dt].","There's something cathartic about smashing ancient trees into the ground.","Simon Tjong","879bc04a3f334110876979dd3a3c499b","Red","","S0","Class",""
"46","Skill","Enrage","Giant","-","1","2","-","","","","","Silence","","Aura","{Hardcast} <(Only play this card if it is revealed. At the end of your turn, you may reveal one card with Hardcast.)> {Attach} to yourself. At the start of your turn, gain 1 [a].","","Benjamin Goutte","254c304e3ff7461b9b76c391e6c2acd0","Red","","S0","Class",""
"47","Skill","Fault Line","Giant","-","1","1","+","2","","","","Silence","","Ability Aura","Make target empty tile {Difficult Terrain} [dt], then {Attach} to that tile. After an enemy enters this tile, deal 4 damage to and {Slow 1} [o] them.","As if the Winter didn't make The Skels treacherous enough.","Blake Rottinger","12e491b6a39c49e4bdc620a6b6d9a762","Red","","S0","Class",""
"48","Skill","Giant's Strength","Giant","","0","2","-","","","","","Silence","","Ability","You may play an {Attack} card targeting an enemy. That card deals 4 more damage, {Stuns} the target and gains {Heroic} [h].","A man can become strong. A giant is strong.","Jackie Felix","e5ed74cc84804c61a8ee09cf6b0fe21d","Red","","S0","Class",""
"49","Skill","Giantskin","Giant","-","1","1","+","","","","","Silence","","Aura","{Attach} to yourself. After an {Attack} card resolves targeting you for the first time during each turn, gain 1 [p].","Better to die with a smile than be slaughtered like a pig.","Dimas Pamungkas","3028cb6ba1a4420ca7552e4cefcc8666","Red","","S0","Class",""
"50","Skill","Grab","Giant","-","2","2","+","1","","","","","Disarm","Debuff Attack","Deal 4 damage to target enemy. {Slow 3} [o] them.","In the giant's clutch' — Skelic idiom","Mario Vazquez","5725f8075e64483fb9d69b94b088ecb4","Red","","S0","Class",""
"51","Skill","Infuriate","Giant","","0","1","-","","","","","","Disarm","Buff","{Hardcast} <(Only play this card if it is revealed. At the end of your turn, you may reveal one card with Hardcast.)> {Attach} to yourself until end of turn. {Attack} cards you play cost 1 less {Resource}. <(Action and power costs may not be reduced to zero in this way.)>","","Nikita Volobuev","bcdae8fa1ef2475bb1face2dce847a57","Red","","S0","Class",""
"52","Skill","Munch","Giant","","0","1","-","1","","","","Silence","","Ability","Choose one: - {Destroy} target card. - Remove target {Terrain} token. Then, heal yourself 3 HP. ","""Mmm, oak!"" — Ogar Banner-eater","Nikita Volobuev","9981a8ddcad4418abdb9b47bf8ecf93f","Red","","S0","Class",""
"53","Skill","Overlook","Giant","-","1","1","+","","","","Slow","Silence","","Instant Ability","{Counter} target card targeting you with a {Resource} cost of two or less unless its controller spends 2 {Resources}. If the card is {Countered}, draw a card.","","Nikita Volobuev","940a0b8ae7904b459d15164328cb42eb","Red","","S0","Class",""
"54","Skill","Raze","Giant","-","3","5","-","1","","","","Silence","Disarm","Ability Debuff Attack","{Hardcast} <(Only play this card if it is revealed. At the end of your turn, you may reveal one card with Hardcast.)> {Raze} can't be targeted by cards. Deal 20 damage to target enemy. {Silence 2} [i], {Disarm 2} [d], and {Stun} them. They discard two cards. Make each tile {near} them {Difficult Terrain} [dt]. {Destroy} all enemy cards.","","Septimius Ferdian","85ace8bedca64053bd37aeed1188afd1","Red","","S0","Class",""
"55","Skill","Smash","Giant","-","2","2","-","1","","","","Silence","Disarm","Ability Debuff Attack","Deal 10 damage to target enemy. {Silence 2} [i] and {Disarm 2} [d] them. Make the tile they're in {Difficult Terrain} [dt].","Giants and men rarely see eye to eye.","Septimius Ferdian","43fe3849f41f4275b5f3f4eebf960cf2","Red","","S0","Class",""
"56","Skill","Stunning Blow","Giant","-","2","2","+","1","","","","Silence","Disarm","Ability Attack","Deal 7 damage to target enemy. {Stun} them. <(They lose a resource of their choice.)> ","Since the Winter has worsened, giants and men have fought over food and land alike.","Uros Sljivic","e4cd2e70027546debf135f779f99a15b","Red","","S0","Class",""
"57","Skill","Thinking Time","Giant","-","2","2","+","","","H","","","","Ability","{Hardcast} <(Only play this card if it is revealed. At the end of your turn, you may reveal one card with Hardcast.)> While {Thinking Time} is {Revealed} in your hand, you may only play cards named {Thinking Time}. Draw three cards.","","Cynthia F.G.","3ef5d5ee397a467eb449cc9990ab5cfa","Red","","S0","Class",""
"58","Skill","Timber","Giant","","0","2","-","","","","Slow","","Disarm","Instant Debuff","{Silence 1} [i] and {Disarm 1} [d] target opponent {near} {Terrain}.","As the tree flies' is an apt measurement of distance while in giant territory.","Blake Rottinger","e322db7968194f54805e531df6b7a807","Red","","S0","Class",""
"59","Skill","Toss","Giant","-","1","1","+","1","","","Slow","","Disarm","Travel Attack","Deal 4 damage to target enemy. {Travel} them up to one tile.","The Watcher had to go. But not like this.","Wasan Techawibulchai","78ca508477e4453387320cfc0a6e0e46","Red","","S0","Class",""
"60","Skill","Tremors","Giant","-","1","1","-","","","","","Silence","","Aura","{Attach} to target empty tile {near} {Terrain}. At the end of your turn, deal 3 damage to each enemy {near} {Tremors} and {Travel} them one tile.","Across The Skels, seismic activity is not commonly attributed to natural causes.","Piotr Arendzikowski","f2a89dcfb7bf47e99d61db02c3622aa9","Red","","S0","Class",""
"61","Skill","Attrition","Cryomancer","","0","1","-","2","","","","Silence","Disarm","Ability Debuff","Choose one: - {Destroy} target card. - {Slow 1} [o] target opponent.","The Crystal Peaks is a landmark for all The Skels, a reminder of the Winter's grasp.","Dario Marzadori","6d60c988f2c247df83be3dce7f50e412","Blue","","S2","Class",""
"62","Skill","Avalanche","Cryomancer","-","2","4","-","2","","","Slow","Silence","","Travel Ability","Choose a lane containing target tile. Make each of those tiles {Difficult Terrain} [dt], then deal 12 damage to each character in them. {Travel} enemies damaged this way to one end of the lane.","Winter has come.","Wasan Techawibulchai","c3231ff870fb4eac9d1fa6888efba35c","Blue","","S2","Class",""
"63","Skill","Cold Snap","Cryomancer","","0","1","-","2","","","","","Disarm","Attack","Deal 3 damage to target {Controlled} opponent.","Your silent companion is more than happy to oblige. // Death by the Winter's chill has eternal consequences. // Your fingers pop and ice cracks. The cold rushes in to finish the job.","Selver Dervisic","61ff63ab47e04139a5aefdf54450c8e4","Blue","","S2","Class",""
"64","Skill","Coldshape","Cryomancer","-","1","2","+","2","","","","","Disarm","Buff","Target player gains [mi] [mi].","Despite the taboo, few clans survive the Winter without a cryomancer.","Septimius Ferdian","d5b4570bc7bb44a08255480969a84a60","Blue","","S2","Class",""
"65","Skill","Cryostasis","Cryomancer","","0","2","-","","","H","","","","Instant Buff","Gain [mi] [mi] [mi] [mi] [mi].","""As long as the glaciers stand, so will I."" // The Winter has longed to embrace you. Be careful it does not take you forever. // With your many moons, it is as if the Winter knows what you wish before even you.","Wojtek Depczynski","0a46b5cd7f22423f883e3ffd077b0996","Blue","","S2","Class",""
"66","Skill","Crystal Blade","Cryomancer","","0","2","-","","","","","Silence","","Aura","{Attach} to yourself. After you resolve an {Attack} card targeting a {nearby} enemy for the first time during your turn, deal 2 damage to and {Slow 1} [o] that enemy.","","Wojtek Depczynski","81ce6c6fb5bd4677ae004a4586126f57","Blue","","S2","Class",""
"67","Skill","Permafrost","Cryomancer","-","2","2","+","2","","","","Silence","","Aura","Make target empty tile difficult terrain, then {Attach} permafrost to that tile. At the end of your turn, {Slow 2} [o] each opponent near permafrost.","Winter magic feeds the Winter. With each cast, its domain spreads further.","Dario Marzadori","5a4948078b1940a595c51d805f31ba84","Blue","","S2","Class",""
"68","Skill","Flash Freeze","Cryomancer","-","1","1","-","2","","","Slow","Silence","Disarm","Instant Ability Debuff","{Stun} target opponent. <(They lose a resource of their choice.)> {Slow 1} [o] and {Disarm 1} [d] them.","Practitioners of cryomancy draw the ire of the Huntsmen, regardless of their intentions.","Septimius Ferdian","c158fc6f791e48efbf60d0c1d2845007","Blue","","S2","Class",""
"69","Skill","Fractal Burst","Cryomancer","","0","1","-","","","","","Silence","Disarm","Ability Buff","Draw a card. {Attach} to yourself. {Duration} [du] - gain [p].","","Alexandra Schastlivaya","000ff450d0534c28a3c4d8b3b4dfbf30","Blue","","S2","Class",""
"70","Skill","Frostsnatch","Cryomancer","-","1","2","-","2","","","Slow","Silence","Disarm","Instant Ability Debuff","{Counter} target card unless its controller spends 3 {Resources}. If that card is {Countered}, {Slow 2} [o] the card's controller.","","Wadim Kashin","99c74afcbc9a4d06be5381b7b573364b","Blue","","S2","Class",""
"71","Skill","Glacialize","Cryomancer","-","1","1","+","2","","","","","Disarm","Debuff Attack","Deal 4 damage to target enemy. {Silence 1} [i] them.","Commonfolk use the phrase 'a glacial pace' to describe the deceptively quick.","Septimius Ferdian","778deeed31924428a61a077f8caf23cf","Blue","","S2","Class",""
"72","Skill","Hailstorm","Cryomancer","-","1","2","-","2","","","","Silence","Disarm","Ability Attack","Deal 7 damage to target enemy. {Advantage} - Make two target tiles {near} them {Difficult Terrain}.","","Wojtek Depczynski","49299e4242c7494082c6ac88b3c20f47","Blue","","S2","Class",""
"73","Skill","Icebolt","Cryomancer","-","1","1","+","2","","","","","Disarm","Attack","Deal 4 damage to target enemy. {Advantage} - deal 2 more damage to them.","The Winter is malleable, but only to those who believe it can be.","Mario Vazquez","eebf0ec9eb824c81908ed085f2762f4a","Blue","","S2","Class",""
"74","Skill","Rime Shock","Cryomancer","-","1","1","-","2","","","","","Disarm","Debuff Attack","Deal 6 damage to target enemy. {Advantage} - {Slow 2} [o] them.","""Careful who you use our magic around. Not all folks will understand.""","Wojtek Depczynski","f3a6cd4403794e978fd49077726b4f78","Blue","","S2","Class",""
"75","Skill","Shatter","Cryomancer","-","2","2","-","2","","","","Silence","Disarm","Ability Attack","Deal 8 damage to target enemy. {Advantage} - remove all {Control} affecting them, and {Stun} them for each control token removed this way.","Rest in pieces.","Septimius Ferdian","75f7476b962549c68c2575b848b73683","Blue","","S2","Class",""
"76","Skill","Sleet Blast","Cryomancer","-","1","1","+","2","","","","","Disarm","Debuff Attack","Deal 4 damage to target enemy. {Disarm 1} [d] them.","Some of them are bound to break. All of them are bound to hurt.","Selver Dervisic","5fafe194c1a346a595a7a0c2d3c57102","Blue","","S2","Class",""
"77","Skill","Snow Blast","Cryomancer","-","1","1","+","2","","","Slow","","Disarm","Travel Debuff","{Travel} another target character up to one tile away from you. {Slow 1} [o] them.","The most important virtue in a cryomancer is patience.","Wojtek Depczynski","1fda620f2ba740759c3ea55e4260a31f","Blue","","S2","Class",""
"78","Skill","Snowslide","Cryomancer","-","1","1","+","2","","","","Silence","","Ability","Make target tile {Difficult Terrain} [dt]. Draw a card.","Destructive weather is frequently blamed on the local cryomancer.","Dario Marzadori","eb1b7595c6f04386bc2e2b0add25524a","Blue","","S2","Class",""
"79","Skill","Thin Ice","Cryomancer","-","1","1","+","2","","","Slow","Silence","","Instant Ability","{Counter} target card controlled by a player {near} {Terrain} unless they pay 2 {Resources}.","A single misstep can end a life.","Septimius Ferdian","51195d6b023143d3af9e85ff31baa2cb","Blue","","S2","Class",""
"80","Skill","Wintertide","Cryomancer","-","1","1","+","2","","","Slow","Silence","","Instant Ability","Choose one: - Return target {Attached} card to its owner's hand. - Make target tile {Difficult Terrain} [dt].","Since the Winterburst, Winter magic has grown more and more potent.","Dario Marzadori","c1efb330f61648cdbeabe47197e9b2a6","Blue","","S2","Class",""
"81","Skill","Brambleroots","Druid","-","1","1","+","","","","","","Disarm","Debuff","{Slow 3} [o] target opponent in {Terrain}.","The forest knows who its enemies are.","Wojtek Depczynski","98a03ad0a60b4e67b548ce34f85c9d1b","Green","","S2","Class",""
"82","Skill","Druidic Lore","Druid","-","1","2","+","","","","","Silence","","Ability","{Seek} <(Look at the top card of your deck. Either draw that card, or put that card into your discard and draw the next card.)>","Vanoc created The Skels for his followers, but the druids turned to Yore for guidance.","Wojtek Depczynski","a2868efd349b46c686737b7e9ac58948","Green","","S2","Class",""
"83","Skill","Druidic Strike","Druid","-","1","1","+","1","","","","Silence","Disarm","Ability Attack","Deal 4 damage to target enemy. {Seek} <(Look at the top card of your deck. Either draw that card, or put that card into your discard and draw the next card.)>","To divine the past, druids msut spill blood. Sometimes, it is not their own.","Selver Dervisic","96a21162d7d449d19da60b7f59483c1c","Green","","S2","Class",""
"84","Skill","Emerald Seed","Druid","","0","1","+","","","","","Silence","","Aura","{Attach} to target empty tile {near} {Terrain}. At the end of your turn, if you're {near} {Emerald Seed}, heal yourself 1 HP.","""In these forests, thorns and wolves are the least of your worries.""","Dario Marzadori","43adf8040c0a4d97aea0a80ab08d7264","Green","","S2","Class",""
"85","Skill","Memory of Yore","Druid","","0","1","-","","","","","Silence","","Ability","Return a card that generates [p] from your discard to the top of your deck.","Tears flowed as the druid caught a glimpse at what The Skels could be.","Dario Marzadori","2316b9d4ca084a34867b97ef7a493083","Green","","S2","Class",""
"86","Skill","Replenish","Druid","-","2","2","+","2","","","","","Disarm","Buff","{Attach} to target player. {Duration} [du] - heal them 2 HP.","It's the little things in life that matter.","Alexandra Schastlivaya","3737378a38284722bdcf30e207a1f55b","Green","","S2","Class",""
"87","Skill","Reseed","Druid","-","1","1","+","1","","","","Silence","","Ability","Make two target tiles {Difficult Terrain} [dt].","Summer must return, one grove at a time.","Blake Rottinger","e6bbc03f4d81476b95401bdbfa44be21","Green","","S2","Class",""
"88","Skill","Restoration","Druid","","0","2","-","2","","H","","","","Ability","Choose one: - {Destroy} target card. - Return an {Ability} card from your discard to your hand.","","Septimius Ferdian","0866957b485b419eb10f7901a14abe88","Green","","S2","Class",""
"89","Skill","Return to Myth","Druid","-","1","1","-","1","","","Slow","Silence","","Instant Ability","{Counter} target card unless its controller spends 3 {Resources}. {Seek} <(Look at the top card of your deck. Either draw that card, or put that card into your discard and draw the next card.)>","","Wojtek Depczynski","9b433ef7700e4862b8065cd63feb8e8e","Green","","S2","Class",""
"90","Skill","Revitalize","Druid","-","1","2","-","2","","","","","Disarm","Buff","{Attach} to target player. {Duration} [du] - heal them 3 HP.","The forest knows who its allies are.","Wojtek Depczynski","97f0b86fed18419f8b2d3840c93c71b2","Green","","S2","Class",""
"91","Skill","Slash of Yore","Druid","-","1","2","-","1","","","","Silence","Disarm","Ability Attack","Deal 6 damage to target enemy. You may return an {Attack} card with a {Resource} cost of 1 or less from your discard to your hand.","Druids carve through the present to reveal memories of the past.","Selver Dervisic","bbac6fc2169b4151b6ec3434f4096ecf","Green","","S2","Class",""
"92","Skill","Grove","Druid","-","1","3","-","2","","","","Silence","","Aura","{Attach} to target empty tile. At the start of your turn, you may {attach} a card from your discard to yourself.","There is an untouchable stillness here.","Dario Marzadori","ac07501bfa974f619be05d51122b7f80","Green","","S2","Class",""
"93","Skill","Thicket","Druid","-","2","2","+","2","","","","Silence","","Ability Aura","Make target empty tile and another tile {near} it {Difficult Terrain} [dt], then attach {Thicket} to the target tile. After an opponent enters {Thicket}, {Stun} them. <(They lose a resource of their choice.)>","Some druids are rumored to carry divine seeds gifted by Yore, their patron deity.","Wasan Techawibulchai","81aeb90158cf4660968e0ee72837d1fa","Green","","S2","Class",""
"94","Skill","Thornpath","Druid","-","1","1","-","1","","","Slow","","Disarm","Travel Attack","Choose one: - {Travel} up to two tiles. - Deal 6 damage to target enemy.","The right path is never the easiest.","Wojtek Depczynski","d84cce13fc08421d82af5b4c30e7c6b4","Green","","S2","Class",""
"95","Skill","Thrive","Druid","","0","2","-","1","","","","Silence","","Aura","{Attach} to yourself. At the end of your turn, make target tile {Difficult Terrain} [dt].","It is said that the druids will bring about a new age of prosperity for The Skels.","Wasan Techawibulchai","8330286c3bd048a9b878bb53aa5c8795","Green","","S2","Class",""
"96","Skill","Verdant Slash","Druid","-","1","2","-","1","","","","","Disarm","Buff Attack","Deal 7 damage to target enemy. {Attach} to yourself. {Duration} [du] - heal yourself 2 HP.","","Wasan Techawibulchai","798d820f98e1423faf8918513593fe8c","Green","","S2","Class",""
"97","Skill","Verdant Strike","Druid","-","1","1","+","1","","","","","Disarm","Buff Attack","Deal 4 damage to target enemy. {Attach} to yourself. {Duration} [du] - heal yourself 1 HP.","","Wadim Kashin","26f88039817c49ac844450564329778a","Green","","S2","Class",""
"98","Skill","Vine Snap","Druid","-","1","1","+","2","","","Slow","","Disarm","Travel Debuff","{Attach} to target empty tile. After an enemy player enters {Vine Snap}, {Destroy} {Vine Snap} and deal 5 damage to them. At the start of your turn, if no player is on {Vine Snap}, each opponent {Travels} to {Vine Snap} unless they pay 1 {Resource}.","","Dario Marzadori","8a7c726911744448bc51a7dbde060c9b","Green","","S2","Class",""
"99","Skill","Wispform","Druid","","0","2","-","2","","H","","","","Instant Travel","{Travel} to target tile.","With Vanoc's absence, the gifts of Yore flow freely through the druids.","Wojtek Depczynski","d2eff3c1d0094d7ea42df573b61f2615","Green","","S2","Class",""
"100","Skill","Wonder","Druid","","0","1","-","2","","","Slow","","Disarm","Instant Debuff","{Silence 2} [i] target opponent.","The grandeur of forests untouched by the Winter is dazzling.","Alexandra Schastlivaya","7a258d70c84d46eb970b5f53ee209be7","Green","","S2","Class",""
"101","Skill","Battle Lust","Warrior","-","1","2","+","","","","","Silence","","Ability","If the last card you resolved this turn was an {Attack}, gain 1 more [p].","Battle is like a good mead. A taste just makes you want more.","Septimius Ferdian","cd84b217a44547ec8574eade4ad13e1e","Gray","","S2","Class",""
"102","Skill","Block","Warrior","-","1","1","+","1","","","Slow","","Disarm","Instant Buff","Target player gains [mi] [mi] [mi] [mi].","A shield is only as strong as the hand that holds it.","Mario Vazquez","8c8196e2dad340529fe231d0c8be0cf2","Gray","","S2","Class",""
"103","Skill","Blood Spatter","Warrior","","0","1","+","","","","","Silence","","Aura","{Attach} to an empty tile {near} an enemy whom the last card you resolved against this turn was an {Attack}. At the start of your turn, {Stun} each opponent near {Blood Spatter}.","""Hah! This battle is glorious! Again!""","Wasan Techawibulchai","c722ffead5b84939a8b4d1249227c25f","Gray","","S2","Class",""
"104","Skill","Careful Strike","Warrior","-","1","1","+","1","","","","","Disarm","Buff Attack","Deal 5 damage to target enemy. Gain [mi] [mi].","Patience is either a valuable skill or a fatal lesson.","Septimius Ferdian","da7f00f3f18747b3b2a544c24ceb59a2","Gray","","S2","Class",""
"105","Skill","Challenge","Warrior","","0","1","-","","","H","","","","Instant Travel","{Travel} another target player up to two tiles towards you unless they pay 3 {Resources}.","To deny a challenge in Skelic society is to deny clan, honor, and respect.","Wojtek Depczynski","5c0c6f2d9b8b4012ac22f3f8d48dadb9","Gray","","S2","Class",""
"106","Skill","Charge","Warrior","-","1","1","+","","","","Slow","Silence","","Travel Ability","{Travel} up to two tiles towards another target character. Then, if you're {near} them, {Stun} them. <(They lose a resource of their choice.)>","The path to glory is not for the faint of heart.","Septimius Ferdian","bc2fc185c1104b24b70de9978d296a02","Gray","","S2","Class",""
"107","Skill","Cripple","Warrior","-","1","1","+","1","","","","","Disarm","Debuff Attack","Deal 5 damage to target enemy. {Slow 1} [o] them.","Warriors frequently defend their clans from giants raiding for food and supplies.","Wasan Techawibulchai","6d7c3bf61cca4ba39243cf9953ae458e","Gray","","S2","Class",""
"108","Skill","Crush","Warrior","-","1","1","+","1","","","","Silence","","Ability","Choose one: - {Destroy} target card. - {Stun} target opponent. <(They lose a resource of their choice.)>","Never underestimate the utility of sheer force.","Wasan Techawibulchai","59673e751ba0436a8ab08207dc6d334e","Gray","","S2","Class",""
"109","Skill","Dismember","Warrior","-","1","3","-","1","","","","","Disarm","Attack","Deal 6 damage to target enemy. {Frenzy} - deal 6 more damage to them.","""It seems your limbs are getting heavy. Let me relieve you of them.""","Wasan Techawibulchai","43fc105d39304a749f972a8e65664ef9","Gray","","S2","Class",""
"110","Skill","Duck","Warrior","-","1","1","-","","","","Slow","Silence","","Instant Ability","{Counter} target card targeting you unless its controller pays 3 {Resources}.","Be quick or be dead.","Mario Vazquez","af72909424f544a6a4b531a18e60d0ed","Gray","","S2","Class",""
